date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_17_31    470,-964,486,401,594,637,669,3,402,319,359,0,2,784,599,125,762,828,1.0,2,0
2014_11_11_15_17_31    451,-953,486,401,585,636,676,2,406,320,359,2,2,784,600,124,761,828,1.0,2,0
2014_11_11_15_17_31    472,-985,508,402,575,637,676,1,405,371,359,2,2,784,607,121,757,829,1.0,2,0
2014_11_11_15_17_32    472,-983,507,401,581,639,677,2,399,366,353,3,2,784,604,137,761,829,1.0,2,0
2014_11_11_15_17_32    468,-997,487,402,568,638,683,1,399,366,365,2,2,784,602,130,764,827,1.0,2,0
2014_11_11_15_17_32    452,-967,529,401,576,639,687,2,404,368,370,2,1,784,596,142,762,828,1.0,2,0
2014_11_11_15_17_32    438,-928,486,403,576,639,688,1,403,365,364,2,3,786,590,156,760,829,1.0,2,0
2014_11_11_15_17_32    467,-981,499,403,575,640,693,2,408,367,369,2,2,784,619,161,764,829,1.0,2,0
2014_11_11_15_17_32    451,-979,497,404,578,652,690,2,404,367,373,2,2,784,619,137,762,830,1.0,2,0
2014_11_11_15_17_32    447,-946,486,405,570,642,691,2,404,367,375,2,2,784,613,137,762,831,1.0,2,0
2014_11_11_15_17_32    440,-928,507,406,597,646,691,2,406,368,376,2,2,783,611,142,736,831,1.0,2,0
2014_11_11_15_17_32    460,-991,492,406,598,643,690,1,408,366,375,3,3,784,635,144,736,832,1.0,2,0
2014_11_11_15_17_32    457,-988,480,405,606,641,691,2,408,366,376,1,4,784,635,143,735,834,1.0,2,0
2014_11_11_15_17_32    457,-988,480,405,606,641,691,2,408,366,376,1,4,784,635,143,735,834,1.0,2,0
2014_11_11_15_17_32    455,-977,486,403,620,644,691,2,410,369,374,2,2,784,642,160,732,834,1.0,2,0
2014_11_11_15_17_32    455,-977,486,403,620,644,691,2,410,369,374,2,2,784,642,160,732,834,1.0,2,0
2014_11_11_15_17_32    446,-976,493,404,610,645,692,1,410,371,375,1,3,783,636,155,735,835,1.0,2,0
2014_11_11_15_17_32    455,-973,511,403,613,644,691,1,407,368,373,2,1,784,639,182,733,835,1.0,2,0
2014_11_11_15_17_32    472,-991,518,404,604,650,689,1,408,368,369,1,2,784,640,193,734,836,1.0,2,0
2014_11_11_15_17_32    456,-957,499,404,604,652,685,2,406,367,369,2,2,785,637,195,748,835,1.0,2,0
2014_11_11_15_17_32    467,-972,510,404,568,655,686,0,414,367,367,4,1,783,637,198,754,837,1.0,2,0
2014_11_11_15_17_32    467,-972,510,404,568,655,686,0,414,367,367,4,1,783,637,198,754,837,1.0,2,0
2014_11_11_15_17_32    455,-976,519,405,589,655,687,1,414,368,373,1,1,784,639,203,756,837,1.0,2,0
2014_11_11_15_17_32    470,-985,531,406,609,657,687,1,411,369,372,2,2,783,646,198,754,838,1.0,2,0
2014_11_11_15_17_32    470,-985,531,406,609,657,687,1,411,369,372,2,2,783,646,198,754,838,1.0,2,0
2014_11_11_15_17_32    444,-945,510,404,615,655,685,2,414,369,378,2,1,783,644,200,750,838,1.0,2,0
2014_11_11_15_17_32    451,-960,524,404,616,658,686,1,408,371,374,3,1,783,646,201,755,839,1.0,2,0
2014_11_11_15_17_32    446,-973,497,403,615,658,683,2,411,371,366,2,2,783,651,196,757,836,1.0,2,0
2014_11_11_15_17_32    431,-962,504,402,617,660,684,2,412,371,369,2,1,784,645,189,751,835,1.0,2,0
2014_11_11_15_17_32    472,-976,528,402,617,659,686,2,408,369,369,1,2,784,651,185,759,836,1.0,2,0
2014_11_11_15_17_33    472,-976,528,402,617,659,686,2,408,369,369,1,2,784,651,185,759,836,1.0,2,0
2014_11_11_15_17_33    472,-976,528,402,617,659,686,2,408,369,369,1,2,784,651,185,759,836,1.0,2,0
2014_11_11_15_17_33    460,-956,518,403,620,660,690,1,420,351,372,1,2,783,656,182,761,839,1.0,2,0
2014_11_11_15_17_33    468,-976,524,402,622,658,689,2,423,347,374,2,2,784,657,183,758,838,1.0,2,0
2014_11_11_15_17_33    465,-952,526,407,621,662,689,1,419,356,377,2,2,784,660,185,769,837,1.0,2,0
2014_11_11_15_17_33    465,-952,526,407,621,662,689,1,419,356,377,2,2,784,660,185,769,837,1.0,2,0
2014_11_11_15_17_33    467,-993,516,407,620,661,691,2,415,348,377,2,2,785,662,182,761,837,1.0,2,0
2014_11_11_15_17_33    467,-993,516,407,620,661,691,2,415,348,377,2,2,785,662,182,761,837,1.0,2,0
2014_11_11_15_17_33    448,-944,502,398,621,664,688,2,416,370,361,2,1,785,669,182,767,838,1.0,2,0
2014_11_11_15_17_33    448,-944,502,398,621,664,688,2,416,370,361,2,1,785,669,182,767,838,1.0,2,0
2014_11_11_15_17_33    467,-985,515,387,624,666,689,1,423,376,357,2,2,787,669,203,773,838,1.0,2,0
2014_11_11_15_17_33    463,-935,495,397,624,665,686,2,428,358,360,2,2,785,670,194,775,838,1.0,2,0
2014_11_11_15_17_33    444,-965,508,405,625,666,685,1,428,357,356,1,1,786,675,191,768,838,1.0,2,0
2014_11_11_15_17_33    454,-957,499,405,627,665,677,2,424,371,368,2,1,786,673,190,753,839,1.0,2,0
2014_11_11_15_17_33    446,-927,510,405,621,666,677,0,422,370,364,1,2,786,674,191,774,838,1.0,2,0
2014_11_11_15_17_33    480,-989,497,405,620,666,677,3,411,369,360,2,1,785,673,194,764,838,1.0,2,0
2014_11_11_15_17_33    444,-911,534,388,618,667,679,1,407,368,378,1,1,786,673,188,773,838,1.0,2,0
2014_11_11_15_17_33    474,-1007,525,388,620,667,679,3,410,362,374,0,1,787,671,192,773,838,1.0,2,0
2014_11_11_15_17_33    455,-928,508,388,603,656,674,2,430,362,385,2,2,785,670,191,773,839,1.0,2,0
2014_11_11_15_17_33    462,-968,505,388,618,656,672,2,430,366,381,1,1,785,671,192,773,838,1.0,2,0
2014_11_11_15_17_33    463,-936,508,389,600,655,652,2,429,366,373,2,1,786,673,187,774,837,1.0,2,0
2014_11_11_15_17_33    463,-936,508,389,600,655,652,2,429,366,373,2,1,786,673,187,774,837,1.0,2,0
2014_11_11_15_17_33    444,-1034,531,391,597,656,655,3,426,368,378,2,2,786,673,183,770,838,1.0,2,0
2014_11_11_15_17_33    451,-1040,504,395,599,655,660,2,426,366,375,2,2,785,672,194,768,838,1.0,2,0
2014_11_11_15_17_33    481,-1064,515,396,563,657,638,1,424,367,353,3,3,777,671,180,769,837,1.0,2,0
2014_11_11_15_17_33    428,-979,526,396,546,672,651,2,467,371,1,6,64,769,670,186,766,838,1.0,2,0
2014_11_11_15_17_34    399,-819,560,399,549,677,663,1,470,374,1,1,88,779,670,196,765,838,1.0,2,0
2014_11_11_15_17_34    319,-825,631,392,537,667,641,1,436,374,2,2,84,769,653,176,760,840,1.0,2,0
2014_11_11_15_17_34    302,-988,611,388,534,666,631,3,410,272,2,2,67,774,653,128,761,835,1.0,2,0
2014_11_11_15_17_34    378,-1089,610,375,534,655,626,2,416,227,3,1,2,779,644,104,759,835,1.0,1,1
2014_11_11_15_17_34    358,-1012,471,378,526,633,566,2,377,160,1,2,2,769,637,2,669,827,1.0,1,1
2014_11_11_15_17_34    408,-1052,467,355,519,619,573,2,370,164,2,2,2,771,654,2,712,827,1.0,1,1
2014_11_11_15_17_34    395,-901,467,358,518,634,599,2,368,121,2,2,1,780,649,2,697,820,1.0,1,1
2014_11_11_15_17_34    360,-937,543,371,487,644,567,2,370,148,2,1,2,784,650,2,670,817,1.0,1,1
2014_11_11_15_17_34    380,-1025,568,387,525,646,566,2,371,146,2,2,1,789,664,3,710,816,1.0,1,1
2014_11_11_15_17_34    387,-940,556,390,539,639,564,2,377,143,1,1,3,793,666,3,714,814,1.0,1,1
2014_11_11_15_17_34    371,-1016,489,364,454,639,560,1,303,127,1,2,1,780,583,3,575,813,1.0,1,1
2014_11_11_15_17_34    368,-957,508,314,273,582,546,2,7,2,2,1,4,753,522,1,555,811,1.0,1,1
2014_11_11_15_17_34    344,-881,546,309,246,584,542,2,7,1,1,2,2,743,459,1,544,808,1.0,1,1
2014_11_11_15_17_34    355,-993,579,313,271,581,539,2,8,2,2,2,1,752,462,1,549,809,1.0,1,1
2014_11_11_15_17_34    409,-1031,559,336,313,615,498,2,7,1,2,2,2,766,486,1,553,805,1.0,1,1
2014_11_11_15_17_34    393,-975,545,332,316,626,505,2,32,1,2,2,1,767,470,0,549,806,1.0,1,1
2014_11_11_15_17_34    363,-978,535,313,303,605,489,2,40,3,1,2,2,753,322,1,546,803,1.0,0,0
2014_11_11_15_17_35    359,-1000,639,312,335,607,503,1,7,1,1,2,2,776,339,1,549,803,1.0,0,0
2014_11_11_15_17_35    387,-992,624,337,351,608,504,2,7,7,3,1,2,766,345,1,559,804,1.0,0,0
2014_11_11_15_17_35    417,-1015,540,327,336,610,509,2,42,5,2,1,2,770,396,1,543,803,1.0,0,0
2014_11_11_15_17_35    379,-963,579,325,338,607,507,2,58,3,1,1,2,763,368,3,543,803,1.0,0,0
2014_11_11_15_17_35    356,-997,583,327,338,608,513,2,96,23,1,2,2,752,377,2,544,803,1.0,0,0
2014_11_11_15_17_35    391,-976,583,333,356,608,516,2,105,111,1,1,2,778,527,1,653,802,1.0,0,0
2014_11_11_15_17_35    400,-1028,582,344,345,613,521,4,117,107,2,2,1,782,539,2,648,802,1.0,0,0
2014_11_11_15_17_35    377,-989,550,343,358,609,509,2,126,104,1,2,1,778,503,2,565,801,1.0,0,0
2014_11_11_15_17_35    408,-941,566,337,359,607,502,2,142,94,2,2,0,768,420,2,545,800,1.0,0,0
2014_11_11_15_17_35    361,-994,615,340,368,606,534,2,67,75,2,2,2,780,526,3,627,801,1.0,0,0
2014_11_11_15_17_35    401,-944,568,338,361,622,531,2,137,90,2,2,2,780,539,2,648,801,1.0,0,0
