date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_34    350,-1000,563,372,497,673,511,2,151,89,2,1,4,790,568,2,308,489,0.0,1,0
2014_11_11_15_15_34    335,-1000,560,372,499,672,509,2,154,95,1,2,1,790,568,1,323,490,0.0,1,0
2014_11_11_15_15_34    334,-1018,567,373,497,670,511,2,155,95,2,2,2,791,568,2,317,491,0.0,1,0
2014_11_11_15_15_34    335,-978,559,373,500,670,508,2,155,94,2,1,3,790,567,1,322,492,0.0,1,0
2014_11_11_15_15_34    351,-1025,547,372,501,669,510,3,151,100,1,2,2,789,567,2,309,492,0.0,1,0
2014_11_11_15_15_34    342,-968,545,372,504,668,510,2,152,80,2,3,2,788,558,2,295,490,0.0,1,0
2014_11_11_15_15_34    335,-992,561,372,497,668,508,2,151,86,1,3,1,787,560,3,276,491,0.0,0,1
2014_11_11_15_15_34    323,-989,591,372,496,669,509,2,138,110,2,2,0,788,568,2,285,491,0.0,0,1
2014_11_11_15_15_34    352,-1000,553,371,498,667,507,2,124,109,2,2,2,787,558,0,289,491,0.0,0,1
2014_11_11_15_15_34    344,-1018,552,371,495,667,507,0,125,89,2,2,0,786,559,2,253,492,0.0,0,1
2014_11_11_15_15_34    339,-1025,564,371,492,667,507,1,121,90,0,2,2,787,558,1,254,493,0.0,0,1
2014_11_11_15_15_34    334,-985,550,369,492,668,506,2,116,92,3,2,2,786,547,2,249,495,0.0,0,1
2014_11_11_15_15_34    340,-989,539,371,491,666,507,1,116,97,2,1,2,788,544,2,252,496,0.0,0,1
2014_11_11_15_15_34    334,-993,539,370,489,667,505,1,119,80,1,1,4,787,547,3,246,495,0.0,0,1
2014_11_11_15_15_34    336,-1041,542,371,492,665,507,1,119,94,2,1,2,787,568,1,223,495,0.0,0,1
2014_11_11_15_15_34    321,-978,575,372,491,665,507,1,122,110,2,1,0,789,570,2,232,490,0.0,0,1
2014_11_11_15_15_34    321,-978,575,372,491,665,507,1,122,110,2,1,0,789,570,2,232,490,0.0,0,1
2014_11_11_15_15_35    327,-977,547,372,503,666,511,1,130,113,1,3,2,804,583,2,268,487,0.0,0,1
2014_11_11_15_15_35    327,-977,547,372,503,666,511,1,130,113,1,3,2,804,583,2,268,487,0.0,0,1
2014_11_11_15_15_35    342,-980,547,372,506,669,512,1,129,114,2,2,0,804,598,2,267,486,0.0,0,1
2014_11_11_15_15_35    342,-980,547,372,506,669,512,1,129,114,2,2,0,804,598,2,267,486,0.0,0,1
2014_11_11_15_15_35    339,-980,559,371,505,668,511,2,134,109,2,1,1,790,587,1,284,487,0.0,0,1
2014_11_11_15_15_35    339,-980,559,371,505,668,511,2,134,109,2,1,1,790,587,1,284,487,0.0,0,1
2014_11_11_15_15_35    350,-1021,560,374,507,668,511,2,135,113,2,2,1,800,592,3,295,484,0.0,0,1
2014_11_11_15_15_35    348,-1000,547,375,507,669,513,3,140,181,2,2,2,803,596,0,299,486,0.0,0,1
2014_11_11_15_15_35    359,-1009,550,375,508,671,506,2,139,190,2,2,2,799,599,3,292,487,0.0,0,1
2014_11_11_15_15_35    352,-1010,531,374,507,671,510,2,134,181,2,1,2,790,605,2,307,489,0.0,0,1
2014_11_11_15_15_35    352,-1010,531,374,507,671,510,2,134,181,2,1,2,790,605,2,307,489,0.0,0,1
2014_11_11_15_15_35    345,-977,552,374,506,671,507,2,137,190,1,4,2,791,605,3,303,490,0.0,0,1
2014_11_11_15_15_35    351,-1005,544,375,505,669,506,2,136,190,2,2,2,790,604,1,297,489,0.0,0,1
2014_11_11_15_15_35    345,-990,547,379,506,670,505,2,131,128,2,2,1,788,596,1,292,490,0.0,0,1
2014_11_11_15_15_35    339,-1002,543,370,491,668,503,1,131,80,0,2,2,786,573,2,291,490,0.0,0,1
2014_11_11_15_15_35    344,-1025,513,370,488,668,502,2,135,85,2,2,2,785,565,2,282,491,0.0,0,1
2014_11_11_15_15_35    336,-1000,551,371,483,667,501,2,138,79,2,3,2,786,558,2,282,491,0.0,0,1
