date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_16_32    368,-1009,487,397,438,673,546,2,322,98,3,2,1,826,591,2,518,785,0.0,1,0
2014_11_11_15_16_32    368,-1009,487,397,438,673,546,2,322,98,3,2,1,826,591,2,518,785,0.0,1,0
2014_11_11_15_16_32    369,-992,480,396,437,671,545,1,321,90,2,2,1,827,574,2,483,784,0.0,1,0
2014_11_11_15_16_32    359,-1040,505,393,434,668,546,2,320,92,0,2,3,827,595,1,443,784,0.0,1,0
2014_11_11_15_16_32    368,-1010,492,393,435,671,546,2,318,86,2,1,2,825,583,2,428,780,0.0,1,0
2014_11_11_15_16_32    372,-1009,492,392,431,668,544,2,314,93,4,6,1,823,568,2,409,783,0.0,1,0
2014_11_11_15_16_32    371,-1025,481,390,428,668,545,2,314,87,2,2,2,824,575,1,414,782,0.0,1,0
2014_11_11_15_16_32    392,-1037,500,389,432,668,545,2,307,95,1,2,1,823,583,1,406,783,0.0,1,0
2014_11_11_15_16_32    387,-1026,505,388,432,669,545,1,313,91,2,2,0,823,576,2,420,781,0.0,1,0
2014_11_11_15_16_32    396,-1029,499,388,437,669,545,2,318,93,1,2,0,823,577,2,435,783,0.0,1,0
2014_11_11_15_16_32    371,-1032,511,394,436,669,546,2,315,102,1,2,1,822,572,1,439,783,0.0,1,0
2014_11_11_15_16_32    380,-1010,508,394,435,668,545,2,319,102,3,0,1,822,567,2,448,781,0.0,1,0
2014_11_11_15_16_32    380,-1010,508,394,435,668,545,2,319,102,3,0,1,822,567,2,448,781,0.0,1,0
2014_11_11_15_16_32    339,-1006,481,391,436,666,546,1,317,116,2,1,2,822,575,1,441,784,0.0,1,0
2014_11_11_15_16_32    339,-1006,481,391,436,666,546,1,317,116,2,1,2,822,575,1,441,784,0.0,1,0
2014_11_11_15_16_32    380,-999,499,392,434,666,545,2,312,108,2,2,1,824,585,3,436,781,0.0,1,0
2014_11_11_15_16_32    368,-989,487,392,433,664,544,2,317,112,2,0,1,822,577,2,400,782,0.0,1,0
2014_11_11_15_16_32    356,-1021,519,390,432,664,544,1,318,110,2,2,1,822,580,2,394,780,0.0,1,0
2014_11_11_15_16_33    364,-1015,470,390,434,664,542,2,322,108,1,1,2,823,583,1,421,781,0.0,1,0
2014_11_11_15_16_33    380,-1074,479,390,434,665,544,1,321,109,2,1,2,823,587,2,443,780,0.0,1,0
2014_11_11_15_16_33    380,-996,463,391,436,664,539,1,324,108,2,1,1,823,583,1,389,781,0.0,1,0
2014_11_11_15_16_33    364,-1034,492,391,438,664,544,1,321,109,4,2,2,821,581,2,391,782,0.0,1,0
2014_11_11_15_16_33    375,-983,483,391,438,664,542,2,318,112,2,4,2,822,579,1,391,781,0.0,1,0
2014_11_11_15_16_33    380,-1024,487,391,440,665,541,1,317,116,1,2,2,824,604,2,400,782,0.0,1,0
2014_11_11_15_16_33    376,-1017,496,392,444,662,543,1,315,117,2,2,1,823,609,0,404,783,0.0,1,0
2014_11_11_15_16_33    369,-1032,491,391,449,664,544,4,312,124,2,2,2,822,611,0,418,782,0.0,1,0
2014_11_11_15_16_33    380,-1018,508,391,453,665,546,1,321,128,2,2,0,823,581,2,438,783,0.0,1,0
2014_11_11_15_16_33    368,-992,483,392,450,667,546,2,320,141,4,2,3,823,601,2,444,784,0.0,1,0
2014_11_11_15_16_33    377,-1040,520,391,449,666,544,2,326,139,2,2,2,822,604,2,493,784,0.0,1,0
2014_11_11_15_16_33    378,-1039,472,392,451,668,545,3,325,141,1,2,1,821,612,1,525,785,0.0,1,0
2014_11_11_15_16_33    384,-996,480,392,451,669,545,1,322,141,1,2,1,822,613,1,518,786,0.0,1,0
2014_11_11_15_16_33    390,-1008,482,393,458,671,543,2,326,149,2,2,2,823,616,2,484,788,0.0,1,0
2014_11_11_15_16_33    386,-1032,492,393,462,671,548,2,315,148,2,1,0,823,613,1,479,789,0.0,1,0
2014_11_11_15_16_33    391,-1026,495,402,461,669,546,2,316,142,2,2,1,824,620,3,470,789,0.0,1,0
2014_11_11_15_16_33    376,-1002,500,401,460,667,548,2,313,127,2,2,1,825,618,4,467,789,0.0,1,0
2014_11_11_15_16_33    396,-1017,496,401,457,663,547,1,311,124,2,1,1,825,632,1,466,789,0.0,1,0
2014_11_11_15_16_33    410,-1052,499,404,453,656,547,2,304,116,2,2,2,826,625,2,521,791,0.0,1,0
2014_11_11_15_16_33    387,-1005,495,404,457,658,547,1,304,116,2,2,2,828,621,1,567,792,1.0,1,1
2014_11_11_15_16_34    424,-1025,515,404,460,658,547,1,302,116,1,1,4,828,630,3,571,794,1.0,1,1
2014_11_11_15_16_34    401,-1038,483,406,451,657,548,2,309,118,2,2,1,829,629,1,524,793,1.0,1,1
2014_11_11_15_16_34    401,-1038,483,406,451,657,548,2,309,118,2,2,1,829,629,1,524,793,1.0,1,1
2014_11_11_15_16_34    403,-1010,484,405,451,653,548,4,308,127,2,2,2,827,629,3,524,795,1.0,1,1
2014_11_11_15_16_34    412,-996,492,405,457,651,545,1,306,123,0,3,2,827,631,1,545,797,1.0,1,1
2014_11_11_15_16_34    412,-996,492,405,457,651,545,1,306,123,0,3,2,827,631,1,545,797,1.0,1,1
2014_11_11_15_16_34    406,-1012,470,399,458,651,547,2,316,124,2,2,0,827,631,1,543,801,1.0,1,1
2014_11_11_15_16_34    423,-1007,483,393,457,651,548,2,315,114,1,0,2,825,636,2,531,803,1.0,1,1
2014_11_11_15_16_34    407,-1007,454,393,463,650,543,3,317,120,3,1,1,825,637,3,553,807,1.0,1,1
2014_11_11_15_16_34    422,-998,479,392,451,652,539,2,307,121,2,2,1,821,636,2,594,809,1.0,1,1
2014_11_11_15_16_34    411,-1007,472,393,454,655,536,2,307,115,1,3,1,821,640,0,594,809,1.0,1,1
2014_11_11_15_16_34    424,-989,481,393,460,657,532,2,310,122,2,2,0,819,637,2,554,811,1.0,1,1
2014_11_11_15_16_34    406,-1033,486,392,456,662,533,3,313,117,1,2,2,812,639,3,559,812,1.0,1,1
2014_11_11_15_16_34    406,-1033,486,392,456,662,533,3,313,117,1,2,2,812,639,3,559,812,1.0,1,1
2014_11_11_15_16_34    406,-1033,486,392,456,662,533,3,313,117,1,2,2,812,639,3,559,812,1.0,1,1
2014_11_11_15_16_34    409,-1025,471,394,454,667,533,2,312,118,0,2,2,806,625,0,548,814,1.0,1,1
2014_11_11_15_16_34    409,-1025,471,394,454,667,533,2,312,118,0,2,2,806,625,0,548,814,1.0,1,1
2014_11_11_15_16_34    401,-973,489,392,438,668,535,2,319,121,2,2,2,805,604,2,551,814,1.0,1,1
2014_11_11_15_16_34    401,-973,489,392,438,668,535,2,319,121,2,2,2,805,604,2,551,814,1.0,1,1
2014_11_11_15_16_34    371,-1012,502,391,441,660,536,1,322,116,2,2,2,805,610,1,552,815,1.0,1,1
2014_11_11_15_16_34    395,-1049,515,391,439,666,540,2,316,120,1,3,2,807,612,3,561,815,1.0,1,1
2014_11_11_15_16_34    391,-1000,483,394,444,666,541,2,318,121,1,2,2,808,617,2,562,816,1.0,1,1
2014_11_11_15_16_34    403,-1028,542,398,474,679,555,2,317,126,1,2,5,801,633,2,579,816,1.0,1,1
2014_11_11_15_16_34    375,-962,483,398,479,683,560,1,318,131,2,1,1,801,625,2,591,814,1.0,1,1
2014_11_11_15_16_34    381,-980,478,399,487,677,565,2,322,150,3,0,23,798,650,2,586,819,1.0,1,1
2014_11_11_15_16_34    392,-1037,477,399,492,687,554,2,332,159,2,2,31,804,659,16,597,821,1.0,1,1
2014_11_11_15_16_35    361,-986,448,399,489,687,554,2,326,171,2,2,29,805,651,0,576,821,1.0,1,1
2014_11_11_15_16_35    412,-1047,423,403,502,691,548,1,332,234,1,2,30,796,650,5,566,823,1.0,1,1
2014_11_11_15_16_35    398,-1036,472,406,504,689,544,1,319,222,2,0,33,800,651,2,570,823,1.0,1,1
2014_11_11_15_16_35    398,-1036,472,406,504,689,544,1,319,222,2,0,33,800,651,2,570,823,1.0,1,1
2014_11_11_15_16_35    400,-996,472,403,495,687,544,2,316,162,2,3,23,800,643,2,570,823,1.0,1,1
2014_11_11_15_16_35    400,-996,472,403,495,687,544,2,316,162,2,3,23,800,643,2,570,823,1.0,1,1
2014_11_11_15_16_35    402,-1007,463,403,495,687,545,2,328,164,2,2,22,806,639,1,560,817,1.0,1,1
2014_11_11_15_16_35    392,-1013,476,403,486,685,558,2,330,159,3,2,1,797,637,1,560,817,1.0,1,1
2014_11_11_15_16_35    409,-1004,505,402,493,683,564,2,325,164,2,1,3,798,632,1,559,816,1.0,1,1
2014_11_11_15_16_35    400,-1004,521,401,497,684,564,1,322,176,1,2,2,800,643,2,558,815,1.0,1,1
2014_11_11_15_16_35    390,-1017,516,403,494,683,565,2,322,204,1,2,2,802,640,1,560,816,1.0,1,1
2014_11_11_15_16_35    392,-1009,487,402,483,681,564,3,321,235,2,3,1,801,638,2,560,814,1.0,1,1
2014_11_11_15_16_35    408,-1037,503,403,495,683,565,2,331,216,2,2,2,811,643,2,566,814,1.0,1,1
2014_11_11_15_16_35    396,-997,471,403,492,683,564,2,336,201,2,0,1,812,638,1,565,815,1.0,1,1
2014_11_11_15_16_35    414,-1048,497,404,498,682,565,2,329,173,2,1,2,810,638,0,563,815,1.0,1,1
2014_11_11_15_16_35    396,-1012,472,405,490,683,567,2,339,173,2,2,1,812,641,2,568,813,1.0,1,1
2014_11_11_15_16_35    403,-1028,507,406,498,685,569,2,339,187,2,2,1,816,659,3,569,824,1.0,1,1
2014_11_11_15_16_35    377,-976,467,406,502,683,569,2,336,206,3,3,0,818,641,2,571,827,1.0,1,1
2014_11_11_15_16_35    422,-994,483,404,505,684,560,1,338,222,419,1,3,814,647,2,577,829,1.0,1,1
2014_11_11_15_16_35    418,-967,496,403,502,684,559,1,339,223,424,2,1,815,647,2,571,831,1.0,1,1
2014_11_11_15_16_35    399,-976,493,406,514,684,560,2,338,217,414,2,1,815,645,26,577,833,1.0,1,1
2014_11_11_15_16_35    396,-975,449,407,513,683,562,1,334,226,414,2,33,818,658,167,601,832,1.0,1,1
2014_11_11_15_16_35    396,-975,449,407,513,683,562,1,334,226,414,2,33,818,658,167,601,832,1.0,1,1
2014_11_11_15_16_35    408,-999,449,401,500,686,561,1,327,212,408,2,0,814,661,47,604,836,1.0,1,1
2014_11_11_15_16_36    451,-1098,472,396,505,686,562,2,341,278,420,1,30,819,656,157,605,836,1.0,1,1
2014_11_11_15_16_36    492,-1117,459,397,506,688,561,2,353,308,431,2,44,811,654,73,604,836,1.0,1,1
2014_11_11_15_16_36    398,-1012,432,401,538,718,579,2,344,287,396,5,53,770,633,101,595,835,1.0,1,1
2014_11_11_15_16_36    352,-921,467,443,518,682,562,2,351,261,1,2,53,770,608,1,582,832,1.0,1,1
2014_11_11_15_16_36    371,-993,529,434,544,698,555,3,335,301,2,2,53,771,596,1,580,831,1.0,1,1
2014_11_11_15_16_36    371,-993,529,434,544,698,555,3,335,301,2,2,53,771,596,1,580,831,1.0,1,1
2014_11_11_15_16_36    387,-1040,496,432,553,710,539,2,338,241,2,2,53,776,562,1,577,826,1.0,1,1
2014_11_11_15_16_36    390,-1016,436,447,560,717,534,1,335,203,1,2,53,775,592,1,575,825,1.0,1,1
2014_11_11_15_16_36    400,-1032,488,447,559,710,533,2,333,206,1,1,53,777,547,2,568,825,1.0,1,1
2014_11_11_15_16_36    376,-928,454,452,557,714,519,1,329,186,0,3,41,776,585,0,592,823,1.0,1,1
2014_11_11_15_16_36    440,-1028,500,450,557,716,523,2,324,190,2,2,39,774,560,2,561,822,1.0,1,1
2014_11_11_15_16_36    408,-980,472,443,522,703,529,2,299,171,2,2,1,767,549,2,560,822,1.0,1,1
2014_11_11_15_16_36    408,-980,472,443,522,703,529,2,299,171,2,2,1,767,549,2,560,822,1.0,1,1
2014_11_11_15_16_36    440,-1044,493,450,535,698,530,2,295,170,2,1,2,767,550,3,559,822,1.0,1,1
2014_11_11_15_16_36    423,-1008,460,455,530,699,529,2,312,165,403,2,2,766,552,3,561,822,1.0,1,1
2014_11_11_15_16_36    423,-989,439,458,527,697,528,1,314,167,406,0,1,768,561,1,558,825,1.0,1,1
2014_11_11_15_16_36    430,-995,511,459,522,701,529,1,314,182,419,3,2,774,561,0,560,825,1.0,1,1
2014_11_11_15_16_36    422,-1020,511,454,550,704,528,1,325,184,433,2,20,775,566,2,566,827,1.0,1,1
2014_11_11_15_16_36    411,-989,459,455,552,705,528,2,333,184,440,1,19,777,559,1,569,833,1.0,1,1
2014_11_11_15_16_36    425,-1006,480,458,561,703,529,1,330,186,439,2,20,793,597,1,568,834,1.0,1,1
2014_11_11_15_16_37    396,-989,521,461,581,705,550,2,322,207,430,2,14,791,621,11,578,837,1.0,1,1
2014_11_11_15_16_37    427,-1017,487,459,594,705,552,2,320,261,433,1,16,789,619,6,577,838,1.0,1,1
2014_11_11_15_16_37    422,-1029,494,455,584,702,552,0,323,263,434,2,16,792,626,49,594,838,1.0,1,1
2014_11_11_15_16_37    423,-1009,496,456,594,704,553,1,320,259,434,1,15,789,630,50,606,839,1.0,1,1
2014_11_11_15_16_37    432,-1026,486,458,564,701,552,2,326,260,440,2,2,788,628,46,608,841,1.0,1,1
2014_11_11_15_16_37    423,-1015,486,453,561,699,551,2,323,252,447,2,3,790,622,5,601,840,1.0,1,1
2014_11_11_15_16_37    408,-948,455,450,558,699,554,3,325,195,442,0,2,787,627,1,603,841,1.0,1,1
2014_11_11_15_16_37    441,-1041,510,448,572,699,553,1,338,198,431,2,9,763,626,1,598,841,1.0,1,1
2014_11_11_15_16_37    441,-1041,510,448,572,699,553,1,338,198,431,2,9,763,626,1,598,841,1.0,1,1
2014_11_11_15_16_37    399,-976,496,455,585,712,541,2,334,303,2,2,55,769,571,12,600,840,1.0,1,1
