date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_18_41    339,-922,582,361,547,656,684,3,427,168,2,2,1,737,416,549,823,802,1.0,1,1
2014_11_11_15_18_41    391,-1028,577,361,545,656,689,1,431,163,1,3,2,741,440,545,813,801,1.0,1,1
2014_11_11_15_18_41    352,-961,590,371,570,655,692,1,431,165,2,1,2,742,438,539,812,801,1.0,1,1
2014_11_11_15_18_41    366,-1008,551,370,522,655,699,2,434,164,1,2,0,724,416,518,799,801,1.0,1,1
2014_11_11_15_18_41    366,-1008,551,370,522,655,699,2,434,164,1,2,0,724,416,518,799,801,1.0,1,1
2014_11_11_15_18_41    380,-985,567,369,494,652,690,3,430,165,3,2,1,723,391,507,793,801,1.0,1,1
2014_11_11_15_18_41    361,-984,560,357,543,651,684,2,432,163,3,2,4,731,393,503,794,801,1.0,1,1
2014_11_11_15_18_41    355,-991,567,363,539,650,695,1,432,171,1,4,1,730,405,500,799,801,1.0,1,1
2014_11_11_15_18_41    368,-984,560,359,536,652,686,2,422,172,2,2,0,724,413,496,819,801,1.0,1,1
2014_11_11_15_18_41    368,-980,566,359,489,653,691,2,426,168,1,1,3,727,420,494,824,801,1.0,1,1
2014_11_11_15_18_41    361,-977,551,354,442,655,665,2,421,170,2,1,1,728,413,492,828,800,1.0,1,1
2014_11_11_15_18_41    371,-1002,592,353,465,653,684,2,418,168,2,2,0,727,406,491,829,799,1.0,1,1
2014_11_11_15_18_41    364,-992,581,356,444,656,688,2,386,170,1,1,2,728,408,489,823,801,1.0,1,1
2014_11_11_15_18_41    364,-974,593,358,358,654,690,1,388,169,1,2,2,718,412,487,823,800,1.0,1,1
2014_11_11_15_18_42    391,-989,591,355,406,649,675,2,379,166,2,2,0,719,434,487,823,799,1.0,1,1
2014_11_11_15_18_42    408,-1026,569,351,339,653,680,1,373,168,0,1,2,720,432,485,822,798,1.0,1,1
2014_11_11_15_18_42    391,-1002,561,355,352,650,686,2,377,156,2,2,2,718,431,484,824,798,1.0,1,1
2014_11_11_15_18_42    391,-1002,561,355,352,650,686,2,377,156,2,2,2,718,431,484,824,798,1.0,1,1
